,Name,Actual Ranking,Model predicted ranking,Model predicted ranking by log_endowment_per_capita,Actual Peer Assessment,Model predicted peer assessment,Model predicted peer_assessment by log_endowment_per_capita
149,University of North Carolina--Asheville,148,122.0,157.0,3.1,3.18,2.48
151,Guilford College,154,129.0,113.0,3.0,3.08,2.94
153,Sweet Briar College,154,133.0,70.0,2.2,3.01,3.39
154,Centenary College of Louisiana,157,88.0,69.0,2.4,3.39,3.39
155,Georgetown College,157,133.0,136.0,2.5,3.06,2.7
156,Westminster College,157,93.0,95.0,2.7,3.33,3.12
158,Hartwick College,160,115.0,107.0,2.6,3.12,3.0
159,Warren Wilson College,160,140.0,105.0,2.7,2.96,3.02
160,Wittenberg University,160,112.0,108.0,2.8,3.23,2.99
161,Albright College,164,129.0,126.0,2.5,3.14,2.8
165,Bennett College,168,192.0,138.0,2.2,2.55,2.68
166,Bethany College,169,137.0,105.0,2.3,2.96,3.03
167,Bethany Lutheran College,170,96.0,105.0,2.1,3.26,3.03
168,Bethune-Cookman University,171,174.0,162.0,2.3,2.81,2.43
169,Blackburn College,172,143.0,122.0,2.2,2.94,2.84
173,Chowan University,175,209.0,146.0,2.0,2.53,2.6
176,Emmanuel College,178,104.0,109.0,2.4,3.31,2.98
178,Fort Lewis College,180,181.0,201.0,2.6,2.78,2.03
179,Gordon College,181,85.0,133.0,2.4,3.44,2.74
184,Louisiana State University--Alexandria,186,200.0,182.0,2.1,2.7,2.22
186,Mansfield University of Pennsylvania,188,162.0,251.0,2.0,2.85,1.51
189,Oglethorpe University,191,120.0,135.0,3.0,3.28,2.71
195,Oglethorpe University,197,120.0,135.0,3.0,3.28,2.71
202,Spring Hills College,204,118.0,155.0,2.3,3.22,2.51
205,Tougaloo College,207,124.0,146.0,2.3,3.19,2.6
206,University of Pikeville,208,179.0,166.0,2.1,2.76,2.39
210,University of Virginia Wise,212,128.0,118.0,2.5,3.1,2.89
211,University of Wisconsin Superior,213,159.0,178.0,2.0,2.92,2.27
212,Virginia Union University,214,172.0,142.0,2.1,2.83,2.64
213,Virginia Wesleyan University,215,149.0,122.0,2.5,2.93,2.85
214,Williams Baptist University,216,168.0,130.0,1.8,2.82,2.76
